case_id,trial_verdict,appeal_outcome
CASE_00773,Murder,UPHELD
CASE_00774,Murder,UPHELD
CASE_00775,Murder,UNKNOWN
CASE_00776,Murder,UPHELD
CASE_00777,Murder,UPHELD
CASE_00778,Murder,UNKNOWN
CASE_00779,Murder,UPHELD
CASE_00780,Murder,UPHELD
CASE_00781,Murder,QUASHED
CASE_00782,Unknown,UNKNOWN
CASE_00783,Murder,QUASHED
CASE_00784,Murder,UPHELD
CASE_00785,Manslaughter,UPHELD
CASE_00786,Murder,QUASHED
CASE_00787,Unknown,SENTENCE
CASE_00788,Murder,SENTENCE
CASE_00789,Murder,SENTENCE
CASE_00790,Unknown,UNKNOWN
CASE_00791,Murder,UPHELD
CASE_00792,Unknown,UNKNOWN
CASE_00793,Murder,SENTENCE
CASE_00794,Manslaughter,SENTENCE
CASE_00795,Manslaughter,UPHELD
CASE_00796,Unknown,SENTENCE
CASE_00797,Manslaughter,SENTENCE
CASE_00798,Murder,UNKNOWN
CASE_00799,Unknown,SENTENCE
CASE_00800,Murder,UPHELD
CASE_00801,Manslaughter,UPHELD
CASE_00802,Murder,UPHELD
CASE_00803,Murder,UNKNOWN
CASE_00804,Not Guilty,UNKNOWN
CASE_00805,Murder,UPHELD
CASE_00806,Murder,UPHELD
CASE_00807,Murder,QUASHED
CASE_00808,Not Guilty,RETRIAL
CASE_00809,Murder,UPHELD
CASE_00810,Murder,SENTENCE
CASE_00811,Murder,UPHELD
CASE_00812,Unknown,SENTENCE
CASE_00813,Murder,RETRIAL
CASE_00814,Murder,UPHELD
CASE_00815,Murder,UPHELD
CASE_00816,Murder,REDUCED
CASE_00817,Murder,UPHELD
CASE_00818,Murder,UPHELD
CASE_00819,Manslaughter,SENTENCE
CASE_00820,Murder,SENTENCE
CASE_00821,Murder,UPHELD
CASE_00822,Murder,UPHELD
CASE_00823,Unknown,UNKNOWN
CASE_00824,Unknown,SENTENCE
CASE_00825,Manslaughter,SENTENCE
CASE_00826,Murder,UPHELD
CASE_00827,Murder,QUASHED
CASE_00828,Unknown,UNKNOWN
CASE_00829,Murder,RETRIAL
CASE_00830,Unknown,UNKNOWN
CASE_00831,Murder,UPHELD
CASE_00832,Murder,UPHELD
CASE_00833,Murder,UPHELD
CASE_00834,Manslaughter,UPHELD
CASE_00835,Not Guilty,UPHELD
CASE_00836,Murder,UPHELD
CASE_00837,Manslaughter,SENTENCE
CASE_00838,Manslaughter,UPHELD
CASE_00839,Murder,UPHELD
CASE_00840,Manslaughter,UPHELD
CASE_00841,Unknown,QUASHED
CASE_00842,Murder,UPHELD
CASE_00843,Murder,SENTENCE
CASE_00844,Unknown,SENTENCE
CASE_00845,Murder,SENTENCE
CASE_00846,Murder,UPHELD
CASE_00847,Murder,UPHELD
CASE_00848,Unknown,UNKNOWN
CASE_00849,Unknown,UNKNOWN
CASE_00850,Murder,QUASHED
CASE_00851,Murder,UPHELD
CASE_00852,Murder,UPHELD
CASE_00853,Murder,UPHELD
CASE_00854,Murder,UPHELD
CASE_00855,Murder,UNKNOWN
CASE_00856,Murder,UPHELD
CASE_00857,Murder,UPHELD
CASE_00858,Manslaughter,SENTENCE
CASE_00859,Manslaughter,SENTENCE
CASE_00860,Manslaughter,SENTENCE
CASE_00861,Murder,UPHELD
CASE_00862,Murder,UPHELD
CASE_00863,Murder,UPHELD
CASE_00864,Murder,UPHELD
CASE_00865,Murder,UPHELD
CASE_00866,Unknown,SENTENCE
CASE_00867,Murder,UNKNOWN
CASE_00868,Manslaughter,SENTENCE
CASE_00869,Unknown,UNKNOWN
CASE_00870,Murder,UPHELD
CASE_00871,Murder,UPHELD
CASE_00872,Unknown,SENTENCE
CASE_00873,Unknown,SENTENCE
CASE_00874,Murder,UPHELD
CASE_00875,Murder,UPHELD
CASE_00876,Murder,UPHELD
CASE_00877,Murder,UPHELD
CASE_00878,Murder,REDUCED
CASE_00879,Manslaughter,SENTENCE
CASE_00880,Murder,UPHELD
CASE_00881,Murder,UPHELD
CASE_00882,Murder,UNKNOWN
CASE_00883,Unknown,UNKNOWN
CASE_00884,Murder,QUASHED
CASE_00885,Murder,UPHELD
CASE_00886,Unknown,UNKNOWN
CASE_00887,Murder,UPHELD
CASE_00888,Murder,UPHELD
CASE_00889,Murder,UPHELD
CASE_00890,Unknown,UNKNOWN
CASE_00891,Murder,UNKNOWN
CASE_00892,Murder,UPHELD
CASE_00893,Unknown,UNKNOWN
CASE_00894,Murder,UPHELD
CASE_00895,Murder,QUASHED
CASE_00896,Unknown,UNKNOWN
CASE_00897,Murder,UPHELD
CASE_00898,Murder,QUASHED
CASE_00899,Unknown,UNKNOWN
CASE_00900,Murder,UPHELD
CASE_00901,Murder,UPHELD
CASE_00902,Manslaughter,SENTENCE
CASE_00903,Murder,RETRIAL
CASE_00904,Murder,SENTENCE
CASE_00905,Murder,UPHELD
CASE_00906,Unknown,SENTENCE
CASE_00907,Murder,RETRIAL
CASE_00908,Manslaughter,SENTENCE
CASE_00909,Unknown,UNKNOWN
CASE_00910,Unknown,SENTENCE
CASE_00911,Manslaughter,SENTENCE
CASE_00912,Murder,RETRIAL
CASE_00913,Murder,UPHELD
CASE_00914,Murder,UPHELD
CASE_00915,Murder,UPHELD
CASE_00916,Murder,UPHELD
CASE_00917,Not Guilty,RETRIAL
CASE_00918,Murder,QUASHED
CASE_00919,Murder,UPHELD
CASE_00920,Murder,UPHELD
CASE_00921,Murder,UPHELD
CASE_00922,Unknown,UNKNOWN
CASE_00923,Unknown,UNKNOWN
CASE_00924,Murder,UPHELD
CASE_00925,Murder,UPHELD
CASE_00926,Murder,UPHELD
CASE_00927,Unknown,SENTENCE
CASE_00928,Not Guilty,QUASHED
CASE_00929,Unknown,UNKNOWN
CASE_00930,Murder,SENTENCE
CASE_00931,Murder,UPHELD
CASE_00932,Unknown,UNKNOWN
CASE_00933,Manslaughter,UPHELD
CASE_00934,Murder,UPHELD
CASE_00935,Murder,UPHELD
CASE_00936,Murder,UPHELD
CASE_00937,Murder,RETRIAL
CASE_00938,Unknown,UNKNOWN
CASE_00939,Murder,UPHELD
CASE_00940,Unknown,UNKNOWN
CASE_00941,Unknown,UNKNOWN
CASE_00942,Unknown,UNKNOWN
CASE_00943,Murder,UPHELD
CASE_00944,Unknown,SENTENCE
CASE_00945,Murder,SENTENCE
CASE_00946,Unknown,SENTENCE
CASE_00947,Murder,UPHELD
CASE_00948,Manslaughter,SENTENCE
CASE_00949,Unknown,UNKNOWN
CASE_00950,Murder,UPHELD
CASE_00951,Unknown,QUASHED
CASE_00952,Manslaughter,UPHELD
CASE_00953,Manslaughter,SENTENCE
CASE_00954,Unknown,SENTENCE
CASE_00955,Unknown,SENTENCE
CASE_00956,Murder,UPHELD
CASE_00957,Unknown,SENTENCE
CASE_00958,Not Guilty,SENTENCE
CASE_00959,Unknown,UPHELD
CASE_00960,Unknown,SENTENCE
CASE_00961,Unknown,UNKNOWN
CASE_00962,Murder,SENTENCE
CASE_00963,Murder,QUASHED
CASE_00964,Murder,UPHELD
CASE_00965,Murder,UPHELD
CASE_00966,Unknown,UNKNOWN
CASE_00967,Murder,UPHELD
CASE_00968,Murder,UNKNOWN
CASE_00969,Murder,UPHELD
CASE_00970,Murder,UPHELD
CASE_00971,Murder,UPHELD
CASE_00972,Murder,UPHELD
CASE_00973,Murder,UPHELD
CASE_00974,Murder,UNKNOWN
CASE_00975,Murder,UPHELD
CASE_00976,Unknown,SENTENCE
CASE_00977,Murder,UPHELD
CASE_00978,Unknown,UNKNOWN
CASE_00979,Murder,UPHELD
CASE_00980,Manslaughter,UPHELD
CASE_00981,Unknown,SENTENCE
CASE_00982,Murder,UPHELD
CASE_00983,Unknown,SENTENCE
CASE_00984,Murder,QUASHED
CASE_00985,Murder,REDUCED
CASE_00986,Murder,UPHELD
CASE_00987,Unknown,UNKNOWN
CASE_00988,Murder,UPHELD
CASE_00989,Murder,UPHELD
CASE_00990,Murder,UPHELD
CASE_00991,Murder,UPHELD
CASE_00992,Unknown,UNKNOWN
CASE_00993,Manslaughter,SENTENCE
CASE_00994,Manslaughter,UPHELD
