case_id,trial_verdict,appeal_outcome
CASE_00197,Murder,SENTENCE
CASE_00198,Murder,UPHELD
CASE_00142,Murder,UPHELD
CASE_00144,Murder,QUASHED
CASE_00145,Unknown,SENTENCE
CASE_00147,Murder,QUASHED
CASE_00148,Murder,UPHELD
CASE_00149,Unknown,SENTENCE
CASE_00199,Murder,UPHELD
CASE_00200,Murder,UPHELD
CASE_00201,Not Guilty,UNKNOWN
CASE_00202,Murder,REDUCED
CASE_00204,Murder,REDUCED
CASE_00207,Murder,SENTENCE
CASE_00208,Murder,UPHELD
CASE_00209,Murder,SENTENCE
CASE_00210,Murder,UPHELD
CASE_00211,Manslaughter,SENTENCE
CASE_00212,Murder,UPHELD
CASE_00213,Murder,UPHELD
CASE_00214,Manslaughter,UPHELD
CASE_00217,Manslaughter,SENTENCE
CASE_00219,Manslaughter,UPHELD
CASE_00220,Murder,UPHELD
CASE_00222,Murder,UPHELD
CASE_00223,Murder,QUASHED
CASE_00226,Murder,UPHELD
CASE_00227,Murder,UPHELD
CASE_00228,Murder,SENTENCE
CASE_00150,Murder,UPHELD
CASE_00157,Manslaughter,SENTENCE
CASE_00158,Murder,SENTENCE
CASE_00229,Murder,REDUCED
CASE_00230,Murder,SENTENCE
CASE_00231,Murder,SENTENCE
CASE_00232,Unknown,UPHELD
CASE_00233,Murder,UPHELD
CASE_00234,Murder,SENTENCE
CASE_00235,Murder,REDUCED
CASE_00236,Murder,UPHELD
CASE_00237,Murder,UPHELD
CASE_00238,Murder,UPHELD
CASE_00239,Manslaughter,UPHELD
CASE_00240,Murder,SENTENCE
CASE_00241,Unknown,UNKNOWN
CASE_00242,Murder,UPHELD
CASE_00243,Murder,UPHELD
CASE_00244,Murder,SENTENCE
CASE_00245,Murder,UPHELD
CASE_00246,Murder,UPHELD
CASE_00247,Murder,SENTENCE
CASE_00248,Murder,SENTENCE
CASE_00249,Murder,SENTENCE
CASE_00251,Murder,UPHELD
CASE_00253,Murder,QUASHED
CASE_00254,Murder,UPHELD
CASE_00255,Manslaughter,QUASHED
CASE_00258,Unknown,UNKNOWN
CASE_00261,Murder,UPHELD
CASE_00262,Manslaughter,UPHELD
CASE_00263,Murder,UPHELD
CASE_00265,Murder,UPHELD
CASE_00266,Murder,UPHELD
CASE_00267,Murder,UPHELD
CASE_00268,Unknown,UNKNOWN
CASE_00272,Murder,UPHELD
CASE_00274,Murder,SENTENCE
CASE_00275,Murder,UNKNOWN
CASE_00276,Murder,UPHELD
CASE_00277,Murder,UPHELD
CASE_00278,Murder,UPHELD
CASE_00163,Unknown,SENTENCE
CASE_00279,Murder,UPHELD
CASE_00280,Unknown,UNKNOWN
CASE_00281,Murder,SENTENCE
CASE_00282,Murder,UPHELD
CASE_00283,Murder,SENTENCE
CASE_00284,Murder,SENTENCE
CASE_00285,Murder,UPHELD
CASE_00287,Murder,UPHELD
CASE_00288,Murder,UPHELD
CASE_00289,Manslaughter,UNKNOWN
CASE_00290,Murder,QUASHED
CASE_00291,Murder,SENTENCE
CASE_00292,Murder,UPHELD
CASE_00293,Murder,UPHELD
CASE_00294,Murder,UPHELD
CASE_00295,Murder,UPHELD
CASE_00296,Murder,UPHELD
CASE_00297,Murder,SENTENCE
CASE_00298,Manslaughter,UPHELD
CASE_00299,Murder,UPHELD
CASE_00300,Murder,REDUCED
CASE_00301,Unknown,UNKNOWN
CASE_00302,Murder,UPHELD
CASE_00303,Murder,UPHELD
CASE_00304,Unknown,UNKNOWN
CASE_00305,Unknown,SENTENCE
CASE_00306,Murder,UPHELD
CASE_00307,Unknown,SENTENCE
CASE_00308,Murder,UPHELD
CASE_00309,Murder,SENTENCE
CASE_00310,Murder,UPHELD
CASE_00311,Murder,UPHELD
CASE_00312,Murder,UPHELD
CASE_00313,Murder,UPHELD
CASE_00314,Murder,UNKNOWN
CASE_00316,Murder,UPHELD
CASE_00317,Murder,UPHELD
CASE_00318,Unknown,UPHELD
CASE_00319,Murder,SENTENCE
CASE_00320,Manslaughter,SENTENCE
CASE_00321,Murder,SENTENCE
CASE_00322,Murder,UPHELD
CASE_00323,Unknown,SENTENCE
CASE_00324,Murder,UPHELD
CASE_00325,Murder,SENTENCE
CASE_00326,Murder,UPHELD
CASE_00327,Murder,UPHELD
CASE_00328,Murder,SENTENCE
CASE_00170,Unknown,UNKNOWN
CASE_00173,Unknown,UNKNOWN
CASE_00177,Unknown,UNKNOWN
CASE_00329,Murder,RETRIAL
CASE_00330,Murder,UPHELD
CASE_00331,Murder,UPHELD
CASE_00332,Murder,UPHELD
CASE_00333,Unknown,UNKNOWN
CASE_00334,Murder,UNKNOWN
CASE_00335,Manslaughter,UPHELD
CASE_00336,Murder,UPHELD
CASE_00337,Murder,SENTENCE
CASE_00338,Murder,UPHELD
CASE_00185,Murder,UPHELD
CASE_00188,Murder,UPHELD
CASE_00189,Murder,UPHELD
CASE_00339,Murder,UPHELD
CASE_00340,Manslaughter,UPHELD
CASE_00341,Murder,UPHELD
CASE_00342,Unknown,SENTENCE
CASE_00343,Murder,SENTENCE
CASE_00344,Murder,UPHELD
CASE_00345,Murder,SENTENCE
CASE_00346,Not Guilty,RETRIAL
CASE_00347,Murder,SENTENCE
CASE_00348,Murder,SENTENCE
CASE_00349,Murder,UPHELD
CASE_00350,Murder,UPHELD
CASE_00351,Murder,SENTENCE
CASE_00352,Murder,SENTENCE
CASE_00353,Murder,UPHELD
CASE_00354,Murder,UPHELD
CASE_00355,Murder,UPHELD
CASE_00356,Murder,UPHELD
CASE_00357,Murder,SENTENCE
CASE_00358,Murder,REDUCED
CASE_00359,Murder,SENTENCE
CASE_00360,Murder,UPHELD
CASE_00361,Murder,SENTENCE
CASE_00362,Unknown,UNKNOWN
CASE_00363,Murder,UPHELD
CASE_00364,Murder,SENTENCE
CASE_00365,Murder,QUASHED
CASE_00366,Murder,UPHELD
CASE_00367,Murder,QUASHED
CASE_00368,Murder,UPHELD
CASE_00191,Murder,UPHELD
CASE_00192,Murder,UPHELD
CASE_00193,Murder,UPHELD
CASE_00369,Murder,UPHELD
CASE_00370,Murder,SENTENCE
CASE_00371,Murder,UPHELD
CASE_00372,Murder,UPHELD
CASE_00373,Murder,SENTENCE
CASE_00374,Not Guilty,UNKNOWN
CASE_00375,Murder,SENTENCE
CASE_00376,Murder,UPHELD
CASE_00377,Murder,UPHELD
CASE_00378,Murder,UPHELD
CASE_00379,Murder,SENTENCE
CASE_00380,Murder,UPHELD
CASE_00381,Murder,UPHELD
CASE_00382,Unknown,UNKNOWN
CASE_00383,Manslaughter,SENTENCE
CASE_00384,Manslaughter,SENTENCE
CASE_00385,Manslaughter,UPHELD
CASE_00386,Unknown,UPHELD
CASE_00387,Murder,SENTENCE
CASE_00388,Murder,UPHELD
CASE_00203,Manslaughter,SENTENCE
CASE_00205,Murder,SENTENCE
CASE_00206,Murder,UPHELD
CASE_00389,Murder,SENTENCE
CASE_00390,Murder,UPHELD
CASE_00391,Murder,UPHELD
CASE_00392,Murder,SENTENCE
CASE_00393,Unknown,UNKNOWN
CASE_00394,Murder,UPHELD
CASE_00395,Murder,UPHELD
CASE_00396,Not Guilty,UNKNOWN
CASE_00397,Murder,RETRIAL
CASE_00398,Murder,RETRIAL
CASE_00399,Murder,UPHELD
CASE_00400,Murder,UPHELD
CASE_00401,Unknown,SENTENCE
CASE_00402,Manslaughter,UPHELD
CASE_00403,Murder,UPHELD
CASE_00404,Murder,UPHELD
CASE_00405,Murder,UPHELD
CASE_00406,Murder,UPHELD
CASE_00407,Murder,UPHELD
CASE_00408,Murder,UPHELD
CASE_00215,Unknown,UNKNOWN
CASE_00216,Unknown,UNKNOWN
CASE_00218,Murder,SENTENCE
CASE_00409,Murder,QUASHED
CASE_00410,Murder,UPHELD
CASE_00411,Murder,UPHELD
CASE_00412,Murder,UPHELD
CASE_00413,Murder,UPHELD
CASE_00414,Murder,UPHELD
CASE_00415,Murder,UPHELD
CASE_00416,Murder,UPHELD
CASE_00417,Murder,SENTENCE
CASE_00418,Murder,UPHELD
CASE_00419,Murder,UPHELD
CASE_00420,Unknown,UNKNOWN
CASE_00421,Murder,QUASHED
CASE_00422,Murder,UPHELD
CASE_00423,Murder,SENTENCE
CASE_00424,Murder,QUASHED
CASE_00425,Murder,SENTENCE
CASE_00426,Manslaughter,UPHELD
CASE_00427,Murder,UPHELD
CASE_00428,Murder,UPHELD
CASE_00429,Murder,UPHELD
CASE_00430,Murder,UPHELD
CASE_00431,Manslaughter,SENTENCE
CASE_00432,Murder,UNKNOWN
CASE_00433,Murder,SENTENCE
CASE_00434,Murder,UPHELD
CASE_00435,Murder,UNKNOWN
CASE_00436,Murder,QUASHED
CASE_00437,Murder,UPHELD
CASE_00438,Murder,SENTENCE
CASE_00439,Murder,UPHELD
CASE_00440,Murder,UPHELD
CASE_00441,Murder,UNKNOWN
CASE_00442,Murder,UPHELD
CASE_00443,Manslaughter,SENTENCE
CASE_00444,Murder,UPHELD
CASE_00445,Not Guilty,UNKNOWN
CASE_00446,Unknown,SENTENCE
CASE_00447,Murder,UPHELD
CASE_00448,Murder,SENTENCE
CASE_00221,Murder,QUASHED
CASE_00224,Murder,UPHELD
CASE_00225,Murder,SENTENCE
CASE_00449,Manslaughter,UPHELD
CASE_00450,Manslaughter,SENTENCE
CASE_00451,Murder,UPHELD
CASE_00452,Murder,SENTENCE
CASE_00453,Murder,REDUCED
