analysis,key,value,node,P_Murder_given_node_0,P_Murder_given_node_1,delta_P_Murder,direction_vs_node0,abs_delta,pathway,P_Murder_node_0,P_Murder_node_1,cpt_node,parent_config_index,child_state_index,child_state_label,baseline_prob,best_multiplier,P_Murder_baseline,P_Murder_perturbed,max_abs_delta_P_Murder,row_type,n_perturbation_trials,mean_abs_delta_P_Murder
cpt_node_mean,,,,,,,,,,,,DeathOfHumanBeing,,,,,,,,,node_mean_abs_delta,8.0,0.00016056945742293216
cpt_node_mean,,,,,,,,,,,,Defences,,,,,,,,,node_mean_abs_delta,32.0,0.0001772979307157578
cpt_node_mean,,,,,,,,,,,,DiminishedResponsibility,,,,,,,,,node_mean_abs_delta,8.0,8.732226121146991e-05
cpt_node_mean,,,,,,,,,,,,FactualCausation,,,,,,,,,node_mean_abs_delta,16.0,9.293833469330853e-05
cpt_node_mean,,,,,,,,,,,,IntentToCauseGBH,,,,,,,,,node_mean_abs_delta,8.0,8.615725181210232e-06
cpt_node_mean,,,,,,,,,,,,IntentToKill,,,,,,,,,node_mean_abs_delta,8.0,1.9725300515652244e-05
cpt_node_mean,,,,,,,,,,,,LegalCausation,,,,,,,,,node_mean_abs_delta,16.0,0.00026565446375948626
cpt_node_mean,,,,,,,,,,,,LossOfControl,,,,,,,,,node_mean_abs_delta,8.0,0.00015992376811271858
cpt_node_mean,,,,,,,,,,,,MaliceAforethought,,,,,,,,,node_mean_abs_delta,16.0,0.00035573177732872024
cpt_node_mean,,,,,,,,,,,,MensReaIntent,,,,,,,,,node_mean_abs_delta,32.0,3.003740076974043e-05
cpt_node_mean,,,,,,,,,,,,UnlawfulKilling,,,,,,,,,node_mean_abs_delta,64.0,0.00017006822573616825
cpt_node_mean,,,,,,,,,,,,Verdict,,,,,,,,,node_mean_abs_delta,96.0,0.0024581621446887344
cpt_node_mean,,,,,,,,,,,,VoluntaryAct,,,,,,,,,node_mean_abs_delta,8.0,3.86258162002745e-05
