node,LR_present,LR_absent
VoluntaryAct,1.000427855253779,0.9981236065829561
DeathOfHumanBeing,1.0017027112755785,0.9820701074403824
FactualCausation,1.0091246554035929,0.9978224506571094
LegalCausation,1.017620696170298,0.9929488493727656
UnlawfulKilling,1.022571581632755,0.9544277749952964
IntentToKill,1.00074086858505,0.9997655335435819
IntentToCauseGBH,1.000484045245316,0.9999069531346616
MensReaIntent,1.0016479263647744,0.9963687039439808
MaliceAforethought,1.0130336461436484,0.9863794134817706
LossOfControl,0.9836323530042205,1.0016924798756073
DiminishedResponsibility,0.9954141839832857,1.0009506786542028
Defences,0.9701720828146964,1.0095334692635909
