node,mutual_information,LR_present,CR
UnlawfulKilling,0.016840763130454257,1.022571581632755,1.022571581632755
Defences,0.013464261818048074,0.9701720828146964,0.9701720828146964
LegalCausation,0.0022083950007008735,1.017620696170298,1.0176206961702983
LossOfControl,0.0012987673435987733,0.9836323530042205,0.9836323530042207
DeathOfHumanBeing,0.0004991584294006873,1.0017027112755785,1.0017027112755787
MaliceAforethought,0.00035039050526903875,1.0130336461436484,1.0130336461436487
FactualCausation,0.0003478664197820425,1.0091246554035929,1.009124655403593
DiminishedResponsibility,0.00020591294541627732,0.9954141839832857,0.995414183983286
VoluntaryAct,1.3676671706536214e-05,1.000427855253779,1.000427855253779
MensReaIntent,1.1799472337115655e-05,1.0016479263647744,1.0016479263647744
IntentToKill,3.430164749632867e-07,1.00074086858505,1.0007408685850503
IntentToCauseGBH,8.893061965821523e-08,1.000484045245316,1.0004840452453159
