threshold,group_id,group_label,group_size,n_pairs,group_mean_js,group_max_js,group_flag,overall_consistency,mean_js_all_pairs,total_similar_pairs
0.5,1,t=0.50|g=1,1061,249945,0.0085032575473884,0.08422350954269858,OK,1.0,0.008502543176599993,249966
0.5,2,t=0.50|g=2,7,21,0.0,0.0,OK,1.0,0.008502543176599993,249966
0.6,1,t=0.60|g=1,984,128115,0.006524579180265788,0.08422350954269858,OK,1.0,0.006437549282461292,129847
0.6,2,t=0.60|g=2,10,45,0.0,0.0,OK,1.0,0.006437549282461292,129847
0.6,3,t=0.60|g=3,58,1653,0.0,0.0,OK,1.0,0.006437549282461292,129847
0.6,4,t=0.60|g=4,5,10,0.0,0.0,OK,1.0,0.006437549282461292,129847
0.6,5,t=0.60|g=5,3,3,0.0,0.0,OK,1.0,0.006437549282461292,129847
0.6,6,t=0.60|g=6,7,21,0.0,0.0,OK,1.0,0.006437549282461292,129847
